d1, ax, ay, az, axL, azL, ts
0.00000, 272.00000, 325.00000, 327.00000, 321.00000, 411.00000, 93.87096
0.00000, 273.00000, 326.00000, 328.00000, 322.00000, 411.00000, 93.89115
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 410.00000, 93.90559
0.00000, 272.00000, 326.00000, 329.00000, 321.00000, 411.00000, 93.92073
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 411.00000, 93.93216
0.00000, 273.00000, 326.00000, 328.00000, 322.00000, 412.00000, 93.94673
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 93.96088
0.00000, 272.00000, 326.00000, 327.00000, 322.00000, 411.00000, 93.97627
0.00000, 272.00000, 325.00000, 328.00000, 321.00000, 411.00000, 93.98978
0.00000, 271.00000, 326.00000, 327.00000, 321.00000, 411.00000, 94.01006
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 94.02450
0.00000, 272.00000, 325.00000, 327.00000, 321.00000, 410.00000, 94.03949
0.00000, 272.00000, 325.00000, 328.00000, 321.00000, 411.00000, 94.05186
0.00000, 272.00000, 326.00000, 327.00000, 322.00000, 411.00000, 94.06451
0.00000, 273.00000, 326.00000, 327.00000, 322.00000, 411.00000, 94.07909
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 410.00000, 94.09612
0.00000, 271.00000, 325.00000, 329.00000, 322.00000, 412.00000, 94.11007
0.00000, 273.00000, 327.00000, 329.00000, 321.00000, 411.00000, 94.12446
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 412.00000, 94.13802
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 412.00000, 94.15335
0.00000, 272.00000, 325.00000, 328.00000, 321.00000, 411.00000, 94.16762
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 94.18330
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 94.19743
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 410.00000, 94.21264
0.00000, 273.00000, 327.00000, 328.00000, 322.00000, 411.00000, 94.22697
0.00000, 272.00000, 325.00000, 328.00000, 321.00000, 411.00000, 94.24125
0.00000, 272.00000, 326.00000, 327.00000, 322.00000, 411.00000, 94.25718
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 411.00000, 94.26980
0.00000, 273.00000, 327.00000, 328.00000, 321.00000, 411.00000, 94.28536
0.00000, 273.00000, 326.00000, 327.00000, 321.00000, 411.00000, 94.29852
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 411.00000, 94.31301
